"nom_région","france_avg_salary","executive_diff","manager_diff","employee_diff","worker_diff"
Alsace,13.7063862928348910,10.26,0.89,-3.16,-2.19
Île-de-France,13.7063862928348910,12.99,2.44,-1.75,-0.91
La Réunion,13.7063862928348910,9.61,0.90,-3.31,-3.11
Nord-Pas-de-Calais,13.7063862928348910,9.03,0.65,-3.34,-2.63
Bretagne,13.7063862928348910,8.98,0.24,-3.48,-3.02
Picardie,13.7063862928348910,9.70,0.94,-3.11,-2.34
Haute-Normandie,13.7063862928348910,10.49,1.35,-3.20,-2.08
Basse-Normandie,13.7063862928348910,9.78,0.46,-3.60,-2.95
Champagne-Ardenne,13.7063862928348910,9.78,0.59,-3.52,-2.83
Guyane,13.7063862928348910,12.17,2.46,-2.61,-2.71
Languedoc-Roussillon,13.7063862928348910,8.85,0.34,-3.55,-3.13
Provence-Alpes-Côte d'Azur,13.7063862928348910,10.55,1.18,-3.14,-2.38
Rhône-Alpes,13.7063862928348910,10.76,1.19,-2.87,-2.16
Poitou-Charentes,13.7063862928348910,9.43,0.35,-3.42,-3.08
Lorraine,13.7063862928348910,9.46,0.65,-3.59,-2.67
Centre,13.7063862928348910,9.99,0.85,-3.17,-2.69
Aquitaine,13.7063862928348910,9.69,0.50,-3.38,-2.82
Auvergne,13.7063862928348910,9.44,0.44,-3.41,-2.75
Martinique,13.7063862928348910,11.12,1.53,-2.96,-2.81
Guadeloupe,13.7063862928348910,10.73,1.57,-2.73,-2.87
Midi-Pyrénées,13.7063862928348910,9.32,0.50,-3.41,-2.77
Bourgogne,13.7063862928348910,9.38,0.57,-3.53,-2.79
Limousin,13.7063862928348910,8.97,0.24,-3.56,-3.05
Franche-Comté,13.7063862928348910,9.46,0.36,-3.44,-2.77
Pays de la Loire,13.7063862928348910,8.95,0.18,-3.43,-2.81
